               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.02653,           0.0088702,                   0,             0.99799,             0.98259,             0.99268,             0.67048,            0.025671,           0.0059826,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.027697,           0.0089342,                   0,             0.99411,             0.98066,              0.9913,             0.67856,            0.024353,           0.0058768,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.026427,           0.0088332,                   0,             0.99021,             0.97872,             0.99382,             0.70323,            0.023297,           0.0057378,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.025671,           0.0089113,                   0,             0.98646,             0.98643,              0.9935,             0.65551,            0.025585,            0.005926,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025347,           0.0079459,                   0,             0.98827,             0.98259,             0.99142,             0.68049,            0.024007,           0.0060772,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.028658,           0.0091488,                   0,             0.99215,             0.98066,             0.99372,             0.65939,            0.025408,           0.0058635,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026172,           0.0092135,                   0,             0.99804,             0.98258,             0.99439,             0.69672,            0.022903,           0.0056977,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.024745,           0.0088257,                   0,             0.99603,             0.97872,             0.99289,             0.70253,            0.023044,           0.0056322,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.025608,           0.0085726,                   0,             0.99602,             0.98066,             0.99349,             0.66239,             0.02429,           0.0057196,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.024531,           0.0087803,                   0,             0.99804,             0.98452,             0.99485,             0.68246,            0.022724,           0.0055799,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.024816,           0.0084522,                   0,             0.97681,             0.97872,             0.98569,             0.66174,            0.025044,           0.0056012,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.024397,           0.0085509,                   0,             0.98276,             0.99213,             0.99473,             0.69255,            0.023047,           0.0058234,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.025336,           0.0087491,                   0,             0.99032,             0.99033,             0.99432,              0.6863,            0.023421,           0.0057548,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.025997,           0.0086252,                   0,             0.99607,             0.98062,             0.99342,              0.7058,            0.023316,           0.0056369,                   0,             0.00769,             0.00769,             0.00769
